case,dataset,image_hw,input_c,output_c,base_dim,plot_index,operator_index_27,plot_row_kind,node,op_type,source_nodes,alpha_visible,beta_output,output_top_beta,output_bottom_beta,ct,ct_count_raw,rotation,diagonal_count,bootstrap_count,bootstrap_ct_count,bootstrap_source_node,bootstrap_reason_folded,folded_activation_node,folded_activation_edge_kind,folded_activation_edge_detail,bootstrap_drop_count,bootstrap_drop_ct_saved,bootstrap_drop_slots_saved,bootstrap_drop_detail,edge_kind,incoming_edge_kind,edge_kind_counts,edge_kind_detail,edge_carry_count,edge_fused_count,edge_explicit_count,edge_bootstrap_drop_count_raw,edge_layout_changed_count,edge_carry_halo_count,folded_skip_merge_node,folded_skip_merge_edge_kind,folded_skip_merge_edge_kind_counts,folded_skip_merge_edge_detail,folded_skip_merge_explicit_count,folded_skip_merge_carry_count,folded_skip_merge_fused_count,plot_edge_label,output_gap,output_shape,fhe_output_shape,selected_output_layout,folding_note
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,1,1,operator,enc1a,Conv2d,x,166,1,1,1,37,37,112,832,0,0,,,,carry,enc1a->enc1a_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,x->enc1a:carry:layout_same_carry_halo:mode=native_halo_stripe,1,0,0,0,0,1,,,,,0,0,0,enc1a:carry,1,1x32x192x192,1x32x192x192,"{""bottom_beta"":1,""core_slots"":1179648,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,2,2,operator,enc1b,Conv2d,enc1a_act,170,0,0,0,36,36,3584,26624,36,36,enc1b,child_level_exceeds_output_level,,carry,enc1b->enc1b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1a_act->enc1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc1b:fused,1,1x32x192x192,1x32x192x192,"{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,3,3,operator,pool1,AvgPool2d,enc1b_act,76,1,1,1,10,10,160,320,0,0,,,,,,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1b_act->pool1:fused:layout_changed_by_AvgPool2d:mode=halo_local,0,1,0,0,1,0,,,,,0,0,0,pool1:fused,2,1x32x96x96,1x8x192x192,"{""bottom_beta"":1,""core_slots"":294912,""gap"":2,""stored_slots"":301056,""stride"":1,""tile_count"":10,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,4,4,operator,enc2a,Conv2d,pool1,80,1,1,1,19,19,6656,53248,18,18,enc2a_act,child_level_exceeds_output_level,enc2a_act,carry+bootstrap-drop,enc2a->enc2a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->enc2b:bootstrap-drop:drop_halo_before_bootstrap,1,1,12288,bootstrap-boundary->enc2b:bootstrap-drop:drop_halo_before_bootstrap,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool1->enc2a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc2a:fused,2,1x64x96x96,1x16x192x192,"{""bottom_beta"":1,""core_slots"":589824,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,5,5,operator,enc2b,Conv2d,enc2a_act,85,0,0,0,18,18,13312,106496,0,0,,,,carry,enc2b->enc2b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc2a_act->enc2b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc2b:fused,2,1x64x96x96,1x16x192x192,"{""bottom_beta"":0,""core_slots"":589824,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,6,6,operator,pool2,AvgPool2d,enc2b_act,38,1,1,1,5,5,320,640,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc2b_act->pool2:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,0,0,,,,,0,0,0,pool2:carry,4,1x64x48x48,1x4x192x192,"{""bottom_beta"":1,""core_slots"":147456,""gap"":4,""stored_slots"":153600,""stride"":1,""tile_count"":5,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,7,7,operator,enc3a,Conv2d,pool2,38,1,1,1,10,10,17408,196608,9,9,enc3a_act,child_level_exceeds_output_level,enc3a_act,carry+bootstrap-drop,enc3a->enc3a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->enc3b:bootstrap-drop:drop_halo_before_bootstrap,1,1,12288,bootstrap-boundary->enc3b:bootstrap-drop:drop_halo_before_bootstrap,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool2->enc3a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc3a:fused,4,1x128x48x48,1x8x192x192,"{""bottom_beta"":1,""core_slots"":294912,""gap"":4,""stored_slots"":307200,""stride"":1,""tile_count"":10,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,8,8,operator,enc3b,Conv2d,enc3a_act,42,0,0,0,9,9,34816,393216,0,0,,,,carry,enc3b->enc3b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc3a_act->enc3b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc3b:fused,4,1x128x48x48,1x8x192x192,"{""bottom_beta"":0,""core_slots"":294912,""gap"":4,""stored_slots"":294912,""stride"":2,""tile_count"":9,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,9,9,operator,pool3,AvgPool2d,enc3b_act,16,1,1,1,3,3,640,1280,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc3b_act->pool3:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,0,0,,,,,0,0,0,pool3:carry,8,1x128x24x24,1x2x192x192,"{""bottom_beta"":1,""core_slots"":73728,""gap"":8,""stored_slots"":79872,""stride"":1,""tile_count"":3,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,10,10,operator,enc4a,Conv2d,pool3,19,1,1,1,5,5,67584,786432,5,5,enc4a_act,child_level_exceeds_output_level,enc4a_act,carry,enc4a->enc4a_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool3->enc4a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc4a:fused,8,1x256x24x24,1x4x192x192,"{""bottom_beta"":1,""core_slots"":147456,""gap"":8,""stored_slots"":159744,""stride"":1,""tile_count"":5,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
