case,dataset,image_hw,input_c,output_c,base_dim,model_variant,compile_source,activation,activation_degree,activation_nominal_depth_degree7,activation_fit_rule,policy,layout_estimator,rotation_estimator,diagonal_estimator,slot_count,compile_node_index,unet22_body_linear_layer_index,linear_layer_index_including_output,node,op_type,is_output_layer,provider_static_supported,provider_static_kind,provider_static_fallback_reason,ct_count,input_ct_count_compact,output_ct_count_compact,selected_input_ct_count,selected_output_ct_count,alpha,beta,output_alpha,output_beta,assigned_level,module_depth,output_level_before_bootstrap,bootstrap_after_layer,bootstrap_reason,bootstrap_before_nodes,bootstrap_boundary_nodes,bootstrap_target_levels,bootstrap_input_shape_after_layer,bootstrap_input_elements_after_layer,bootstrap_count_after_layer,bootstrap_slots_after_layer,bootstrap_ct_count_after_layer,rotation,lt_rotation_estimate,planner_rotation_cost_estimate,relayout_rotation_estimate,relayout_mask_mult_estimate,relayout_sparse_lt_estimate,relayout_depth_estimate,producer_fused_rotation_estimate,consumer_fused_rotation_estimate,diagonal_count,activation_ct_mult_estimate,lt_transform_count_estimate,lt_bsgs_group_count_estimate,lt_baby_rotation_estimate,lt_giant_rotation_estimate,lt_input_cross_rotation_estimate,lt_local_submatrix_rotation_estimate,lt_output_materialize_rotation_estimate,lt_local_program_count_estimate,lt_recovery_program_count_estimate,lt_rho_hat_per_program_estimate,lt_unfused_rotation_estimate,lt_same_input_fusion_savings_estimate,lt_input_channel_multiplier,lt_output_channel_multiplier,lt_estimator,layout_mode,edge_kind,incoming_edge_kind,edge_kind_counts,edge_kind_detail,edge_carry_count,edge_fused_count,edge_explicit_count,edge_bootstrap_drop_count,edge_bootstrap_drop_detail,edge_layout_changed_count,edge_carry_halo_count,edge_bootstrap_drop_ct_saved,edge_bootstrap_drop_slots_saved,relayout_fusion_side,relayout_note,input_gap,output_gap,input_shape,output_shape,fhe_input_shape,fhe_output_shape,clear_input_min,clear_input_max,clear_output_min,clear_output_max,in_channels_layer,out_channels_layer,activation_kind_layer,activation_degree_layer,activation_depth_layer,activation_prescale_layer,activation_constant_layer,activation_fit_low,activation_fit_high,kernel,stride,padding,output_padding,dilation,groups,source_nodes,source_layout,required_layout,selected_input_layout,selected_output_layout,physical_layout,source_physical_layout,target_physical_layout,incoming_edge_count,edge_relayout_count,output_relayout,consumer_fused_relayout_count,producer_fused_relayout_count,producer_materialized_halo,planner_metric_source,case_total_ciphertext_tiles,case_stored_slots,case_relayout_count,case_bootstrap_l_eff,case_input_level,case_bootstrap_count,case_bootstrapper_slots,case_raw_planner_reported_rotation_estimate,case_reported_rotation_estimate,case_lt_bsgs_rotation_estimate,case_planner_rotation_cost_estimate,case_relayout_rotation_estimate,case_relayout_mask_mult_estimate,case_relayout_depth_estimate,case_diagonal_count_estimate,case_activation_ct_mult_estimate,case_ct_pt_mult_estimate,case_halo_redundancy_ratio,case_objective,notes,case_edge_carry_count,case_edge_fused_count,case_edge_explicit_count,case_edge_bootstrap_drop_count,case_edge_layout_changed_count,case_edge_carry_halo_count,case_edge_bootstrap_drop_ct_saved,case_edge_bootstrap_drop_slots_saved
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,1,1,1,enc1a,Conv2d,False,True,u22_same_shape_conv_provider,,37,2,36,2,37,1,1,1,1,8,1,7,False,,,,,,0,0,0,0,112,112,112,0,0,0,0,0,0,832,0,128,2,16,96,0,112,0,4,0,6,1203,1091,1,32,template,native_halo_stripe,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,x->enc1a:carry:layout_same_carry_halo:mode=native_halo_stripe,1,0,0,0,,0,1,0,0,source,source:producer_materialized_halo,1,1,1x1x192x192,1x32x192x192,1x1x192x192,1x32x192x192,-4.082927703857422,3.912418842315674,-3.1582765579223633,3.2744460105895996,1,32,,,,,,,,3x3,1x1,1x1,,1x1,1,x,"{""bottom_beta"":1,""gap"":1,""stored_slots"":37248,""stride"":1,""tile_count"":2,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":37248,""stride"":1,""tile_count"":2,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":37248,""stride"":1,""tile_count"":2,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":1179648,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}",logical_halo_compact,logical_halo_compact,native_source_stripe,1,0,False,0,0,True,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,2,,,enc1a_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,37,36,36,37,37,1,1,1,1,7,4,3,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc1a->enc1a_act:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,,0,1,0,0,none,,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-3.1582765579223633,3.2744460105895996,-0.27846455574035645,3.1550650596618652,,,silu,7,4,0.15545517303901435,-0.009029608246517875,-6.374637603759766,6.49080753326416,,,,,,,enc1a,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":1179648,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,3,2,2,enc1b,Conv2d,False,True,u22_same_shape_conv_provider,,36,36,36,37,36,1,1,0,0,3,1,2,True,child_level_exceeds_output_level,enc1b_act,enc1b_act,10,1x32x192x192,1179648,36,32768,36,3584,3584,3584,0,0,0,0,0,0,26624,0,4096,64,512,3072,0,3584,0,128,0,6,38496,34912,32,32,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1a_act->enc1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,target,target:consumer_fused_relayout,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-0.27846455574035645,3.1550650596618652,-1.2910957336425781,1.1487799882888794,32,32,,,,,,,,3x3,1x1,1x1,,1x1,1,enc1a_act,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",packed_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,4,,,enc1b_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,36,36,36,36,36,0,0,0,0,10,4,6,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc1b->enc1b_act:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,none,,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-1.2910957336425781,1.1487799882888794,-0.2784472703933716,0.8722549080848694,,,silu,7,4,0.40985696110256625,0.029164573883235387,-2.511033535003662,2.368717670440674,,,,,,,enc1b,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",packed_compact,packed_compact,packed_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,5,,,pool1,AvgPool2d,False,True,u22_pool_provider,,10,36,9,36,10,0,0,1,1,6,1,5,False,,,,,,0,0,0,0,160,160,160,0,0,0,0,0,0,320,0,96,64,128,32,0,160,0,96,0,2,224,64,32,1,template,halo_local,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1b_act->pool1:fused:layout_changed_by_AvgPool2d:mode=halo_local,0,1,0,0,,1,0,0,0,source,source:producer_materialized_halo,1,2,1x32x192x192,1x32x96x96,1x32x192x192,1x8x192x192,-0.2784472703933716,0.8722549080848694,-0.22583186626434326,0.3993125855922699,32,32,,,,,,,,2x2,2x2,0x0,,1x1,32,enc1b_act,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":2,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":2,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":1,""core_slots"":294912,""gap"":2,""stored_slots"":301056,""stride"":1,""tile_count"":10,""top_beta"":1}",logical_halo_compact,packed_compact,packed_compact,1,0,False,0,0,True,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,6,3,3,enc2a,Conv2d,False,True,u22_same_shape_conv_provider,,19,9,18,10,19,1,1,1,1,5,1,4,False,,,,,,0,0,0,0,6656,6656,6656,0,0,0,0,0,0,53248,0,8192,64,512,6144,0,6656,0,128,0,6,77408,70752,32,64,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool1->enc2a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,source+target,target:consumer_fused_relayout;source:producer_materialized_halo,2,2,1x32x96x96,1x64x96x96,1x8x192x192,1x16x192x192,-0.22583186626434326,0.3993125855922699,-0.19121739268302917,0.18152408301830292,32,64,,,,,,,,3x3,1x1,1x1,,1x1,1,pool1,"{""bottom_beta"":1,""gap"":2,""stored_slots"":301056,""stride"":1,""tile_count"":10,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":301056,""stride"":1,""tile_count"":10,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":301056,""stride"":1,""tile_count"":10,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":589824,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,True,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,7,,,enc2a_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,19,18,18,19,19,1,1,1,1,4,3,1,True,child_level_exceeds_output_level,enc2b,enc2b,10,1x16x192x192,589824,18,32768,18,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry+bootstrap-drop,carry,carry=1;fused=0;explicit=0;bootstrap-drop=1,enc2a->enc2a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->enc2b:bootstrap-drop:drop_halo_before_bootstrap,1,0,0,1,bootstrap-boundary->enc2b:bootstrap-drop:drop_halo_before_bootstrap,0,1,1,12288,none,,2,2,1x64x96x96,1x64x96x96,1x16x192x192,1x16x192x192,-0.19121739268302917,0.18152408301830292,-0.08649542182683945,0.0989772379398346,,,silu,7,3,1.0,0.0,-0.3775881230831146,0.3678947985172272,,,,,,,enc2a,"{""bottom_beta"":1,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}","{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":1,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":1,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":589824,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,8,4,4,enc2b,Conv2d,False,True,u22_same_shape_conv_provider,,18,18,18,19,18,1,1,0,0,10,1,9,False,,,,,,0,0,0,0,13312,13312,13312,0,0,0,0,0,0,106496,0,16384,128,1024,12288,0,13312,0,256,0,6,154816,141504,64,64,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc2a_act->enc2b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,target,target:consumer_fused_relayout,2,2,1x64x96x96,1x64x96x96,1x16x192x192,1x16x192x192,-0.08649542182683945,0.0989772379398346,-0.07973772287368774,0.0958736389875412,64,64,,,,,,,,3x3,1x1,1x1,,1x1,1,enc2a_act,"{""bottom_beta"":1,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}","{""bottom_beta"":0,""core_slots"":589824,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}",packed_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,9,,,enc2b_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,18,18,18,18,18,0,0,0,0,9,3,6,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc2b->enc2b_act:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,none,,2,2,1x64x96x96,1x64x96x96,1x16x192x192,1x16x192x192,-0.07973772287368774,0.0958736389875412,-0.038280174136161804,0.05023299902677536,,,silu,7,3,1.0,0.0,-0.1675434112548828,0.18367931246757507,,,,,,,enc2b,"{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":1,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":0,""core_slots"":589824,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}",packed_compact,packed_compact,packed_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,10,,,pool2,AvgPool2d,False,True,u22_pool_provider,,5,18,5,18,5,0,0,1,1,6,1,5,False,,,,,,0,0,0,0,320,320,320,0,0,0,0,0,0,640,0,192,128,256,64,0,320,0,192,0,2,448,128,64,1,template,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc2b_act->pool2:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,source,source:producer_materialized_halo,2,4,1x64x96x96,1x64x48x48,1x16x192x192,1x4x192x192,-0.038280174136161804,0.05023299902677536,-0.03188345581293106,0.04065244644880295,64,64,,,,,,,,2x2,2x2,0x0,,1x1,64,enc2b_act,"{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":0,""gap"":2,""stored_slots"":589824,""stride"":2,""tile_count"":18,""top_beta"":0}","{""bottom_beta"":1,""core_slots"":147456,""gap"":4,""stored_slots"":153600,""stride"":1,""tile_count"":5,""top_beta"":1}",logical_halo_compact,packed_compact,packed_compact,1,0,False,0,0,True,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
